95;307,25;0,0014348;0,019203;1386,02;2734,38;1348,37;3,324;5,6472
100;311;0,0014522;0,018034;1407,87;2725,47;1317,61;3,3603;5,6159
110;318,08;0,0014881;0,015994;1450,28;2706,39;1256,12;3,43;5,5545
120;324,68;0,001526;0,014269;1491,33;2685,58;1194,26;3,4965;5,4941
130;330,86;0,0015663;0,012785;1531,4;2662,89;1131,49;3,5606;5,4339
140;336,67;0,0016097;0,011489;1570,88;2638,09;1067,21;3,623;5,373
150;342,16;0,0016571;0,01034;1610,15;2610,86;1000,71;3,6844;5,3108
160;347,36;0,00171;0,009308;1649,67;2580,8;931,13;3,7457;5,2463
170;352,29;0,001769;0,00837;1690,04;2547,44;857,4;3,8077;5,1785
180;357;0,001839;0,007499;1732,04;2509,59;777,55;3,8717;5,1056
190;361,48;0,001925;0,006673;1776,94;2465,52;688,58;3,9397;5,0247
200;365,76;0,002039;0,005859;1827,17;2411,53;584,36;4,0155;4,9301
210;369,83;0,002212;0,004989;1889,43;2337,72;448,29;4,1093;4,8065
220;373,71;0,00275;0,003609;2021,91;2169,25;147,34;4,3109;4,5386
220,64;373,95;0,003106;0,003106;2087,55;2087,55;0;4,412;4,412
