90;16,7323;2668,38;8,397;90;3,3235;2662,59;7,6414;90;0,0010359;376,99;1,1926;90;0,0010359;377,03;1,1926;90;0,0010359;377,07;1,1926;90;0,0010358;377,15;1,1925;90;0,0010358;377,22;1,1924;90;0,0010357;377,3;1,1923;90;0,0010357;377,38;1,1923;90;0,0010356;377,46;1,1922;90;0,0010356;377,53;1,1921;90;0,0010355;377,61;1,1921;90;0,0010355;377,69;1,192;90;0,0010353;377,88;1,1918;90;0,0010352;378,07;1,1916;90;0,0010351;378,27;1,1914;90;0,001035;378,46;1,1913;90;0,0010347;378,85;1,1909;90;0,0010345;379,24;1,1905;90;0,0010342;379,62;1,1902;90;0,001034;380,01;1,1898;90;0,001034;380,4;1,1895;90;0,0010335;380,78;1,1891;90;0,001033;381,56;1,1884;90;0,0010326;382,33;1,1877;90;0,0010321;383,11;1,187;90;0,0010316;383,88;1,1863;90;0,0010311;384,66;1,1856;90;0,0010302;386,21;1,1842;90;0,0010292;387,76;1,1828
100;17,1967;2687,43;8,4488;100;3,4188;2682,4;7,6952;100;1,696;2675,77;7,361;100;0,0010434;419,14;1,307;100;0,0010434;419,17;1,3069;100;0,0010433;419,25;1,3069;100;0,0010433;419,32;1,3068;100;0,0010432;419,4;1,3067;100;0,0010432;419,47;1,3066;100;0,0010431;419,55;1,3065;100;0,0010431;419,62;1,3065;100;0,001043;419,7;1,3064;100;0,001043;419,77;1,3063;100;0,0010428;419,96;1,3061;100;0,0010427;420,15;1,3059;100;0,0010426;420,34;1,3057;100;0,0010424;420,53;1,3055;100;0,0010422;420,9;1,3051;100;0,0010419;421,28;1,3048;100;0,0010417;421,65;1,3044;100;0,0010414;422,03;1,304;100;0,001041;422,41;1,3036;100;0,0010409;422,78;1,3032;100;0,0010404;423,53;1,3024;100;0,0010399;424,29;1,3017;100;0,0010394;425,04;1,3009;100;0,0010389;425,79;1,3001;100;0,0010384;426,55;1,2994;100;0,0010375;428,06;1,2978;100;0,0010365;429,57;1,2963
110;17,6607;2706,5;8,4992;110;3,5136;2702,07;7,7472;110;1,7448;2696,32;7,4154;110;0,0010515;461,37;1,4187;110;0,0010515;461,4;1,4186;110;0,0010515;461,48;1,4185;110;0,0010514;461,55;1,4185;110;0,0010513;461,62;1,4184;110;0,0010513;461,7;1,4183;110;0,0010512;461,77;1,4182;110;0,0010512;461,84;1,4181;110;0,0010511;461,91;1,418;110;0,0010511;461,99;1,4179;110;0,0010509;462,17;1,4177;110;0,0010508;462,35;1,4175;110;0,0010507;462,53;1,4173;110;0,0010505;462,71;1,4171;110;0,0010503;463,08;1,4167;110;0,00105;463,44;1,4163;110;0,0010497;463,81;1,4158;110;0,0010495;464,17;1,4154;110;0,001049;464,54;1,415;110;0,001049;464,9;1,4146;110;0,0010484;465,63;1,4138;110;0,0010479;466,36;1,4129;110;0,0010474;467,09;1,4121;110;0,0010469;467,82;1,4113;110;0,0010464;468,56;1,4105;110;0,0010453;470,02;1,4088;110;0,0010443;471,49;1,4072
120;18,1243;2725,58;8,5484;120;3,6081;2721,67;7,7977;120;1,7932;2716,61;7,4676;120;1,188;2711,34;7,2698;120;0,0010603;503,79;1,5278;120;0,0010602;503,86;1,5277;120;0,0010602;503,93;1,5276;120;0,0010601;504;1,5275;120;0,00106;504,07;1,5275;120;0,00106;504,14;1,5274;120;0,0010599;504,21;1,5273;120;0,0010599;504,28;1,5272;120;0,0010598;504,35;1,5271;120;0,0010597;504,52;1,5269;120;0,0010595;504,7;1,5266;120;0,0010594;504,88;1,5264;120;0,0010593;505,05;1,5262;120;0,001059;505,4;1,5257;120;0,0010587;505,76;1,5253;120;0,0010584;506,11;1,5248;120;0,0010582;506,46;1,5244;120;0,001058;506,81;1,5239;120;0,0010576;507,17;1,5235;120;0,001057;507,87;1,5226;120;0,0010565;508,58;1,5217;120;0,001056;509,28;1,5208;120;0,0010554;509,99;1,5199;120;0,0010549;510,7;1,519;120;0,0010538;512,12;1,5173;120;0,0010527;513,54;1,5155
130;18,5876;2744,69;8,5964;130;3,7022;2741,21;7,8468;130;1,8413;2736,72;7,5181;130;1,2208;2732,07;7,3219;130;0,9104;2727,25;7,1796;130;0,0010696;546,41;1,6346;130;0,0010696;546,48;1,6345;130;0,0010695;546,54;1,6344;130;0,0010695;546,61;1,6343;130;0,0010694;546,68;1,6342;130;0,0010693;546,75;1,6341;130;0,0010693;546,81;1,634;130;0,0010692;546,88;1,6339;130;0,0010691;547,05;1,6337;130;0,0010689;547,22;1,6334;130;0,0010688;547,39;1,6332;130;0,0010686;547,56;1,6329;130;0,0010683;547,9;1,6325;130;0,001068;548,24;1,632;130;0,0010677;548,58;1,6315;130;0,0010675;548,92;1,631;130;0,001067;549,26;1,6305;130;0,0010669;549,6;1,6301;130;0,0010663;550,28;1,6291;130;0,0010657;550,96;1,6281;130;0,0010651;551,64;1,6272;130;0,0010646;552,32;1,6262;130;0,001064;553;1,6253;130;0,0010629;554,37;1,6234;130;0,0010617;555,75;1,6215
140;19,0507;2763,84;8,6433;140;3,7962;2760,71;7,8946;140;1,8891;2756,7;7,5671;140;1,2533;2752,57;7,3721;140;0,9353;2748,31;7,2312;140;0,617;2739,36;7,0269;140;0,0010797;589,23;1,7392;140;0,0010796;589,29;1,7391;140;0,0010796;589,35;1,739;140;0,0010795;589,42;1,7389;140;0,0010794;589,48;1,7388;140;0,0010794;589,55;1,7387;140;0,0010793;589,61;1,7386;140;0,0010791;589,78;1,7384;140;0,001079;589,94;1,7381;140;0,0010788;590,1;1,7378;140;0,0010787;590,26;1,7376;140;0,0010784;590,59;1,7371;140;0,001078;590,91;1,7365;140;0,0010777;591,24;1,736;140;0,0010774;591,56;1,7355;140;0,001077;591,89;1,735;140;0,0010768;592,22;1,7345;140;0,0010762;592,87;1,7335;140;0,0010756;593,52;1,7324;140;0,001075;594,18;1,7314;140;0,0010743;594,83;1,7304;140;0,0010737;595,49;1,7294;140;0,0010725;596,81;1,7274;140;0,0010714;598,13;1,7254
150;19,5136;2783,02;8,6892;150;3,8899;2780,2;7,9412;150;1,9367;2776,59;7,6147;150;1,2856;2772,89;7,4207;150;0,9599;2769,09;7,2809;150;0,634;2761,18;7,0791;150;0,4709;2752,78;6,9305;150;0,0010904;632,27;1,8419;150;0,0010904;632,33;1,8418;150;0,0010903;632,39;1,8417;150;0,0010902;632,45;1,8416;150;0,0010902;632,51;1,8415;150;0,0010901;632,57;1,8414;150;0,0010899;632,73;1,8411;150;0,0010898;632,88;1,8408;150;0,0010896;633,04;1,8405;150;0,0010894;633,19;1,8403;150;0,0010891;633,5;1,8397;150;0,0010888;633,81;1,8391;150;0,0010884;634,12;1,8386;150;0,0010881;634,43;1,838;150;0,001088;634,74;1,8375;150;0,0010874;635,06;1,8369;150;0,0010868;635,68;1,8358;150;0,0010861;636,3;1,8347;150;0,0010855;636,93;1,8337;150;0,0010848;637,56;1,8326;150;0,0010842;638,18;1,8315;150;0,0010829;639,44;1,8294;150;0,0010816;640,71;1,8272
160;19,9763;2802,24;8,734;160;3,9834;2799,68;7,9867;160;1,9841;2796,42;7,661;160;1,3176;2793,08;7,4679;160;0,9843;2789,66;7,329;160;0,6508;2782,6;7,1291;160;0,4839;2775,19;6,9828;160;0,3837;2767,38;6,8655;160;0,3167;2759,02;6,7658;160;0,0011019;675,62;1,9427;160;0,0011018;675,68;1,9426;160;0,0011017;675,74;1,9424;160;0,0011017;675,8;1,9423;160;0,0011015;675,94;1,942;160;0,0011013;676,09;1,9417;160;0,0011011;676,24;1,9414;160;0,0011009;676,38;1,9411;160;0,0011006;676,67;1,9405;160;0,0011002;676,97;1,9399;160;0,0010998;677,26;1,9393;160;0,0010995;677,56;1,9388;160;0,001099;677,85;1,9382;160;0,0010988;678,14;1,9376;160;0,0010981;678,73;1,9364;160;0,0010974;679,33;1,9352;160;0,0010967;679,92;1,9341;160;0,001096;680,52;1,9329;160;0,0010953;681,11;1,9318;160;0,0010939;682,31;1,9295;160;0,0010926;683,51;1,9272
170;20,4389;2821,51;8,778;170;4,0768;2819,18;8,0312;170;2,0314;2816,21;7,7062;170;1,3495;2813,18;7,5138;170;1,0085;2810,09;7,3756;170;0,6674;2803,72;7,1773;170;0,4968;2797,09;7,0328;170;0,3943;2790,19;6,9176;170;0,3258;2782,97;6,8205;170;0,2769;2775,36;6,7356;170;0,0011142;719,21;2,0419;170;0,0011141;719,27;2,0418;170;0,001114;719,32;2,0417;170;0,0011138;719,46;2,0413;170;0,0011136;719,59;2,041;170;0,0011134;719,73;2,0407;170;0,0011133;719,87;2,0404;170;0,0011129;720,14;2,0397;170;0,0011125;720,42;2,0391;170;0,0011121;720,69;2,0385;170;0,0011117;720,97;2,0378;170;0,001111;721,24;2,0372;170;0,0011109;721,52;2,0366;170;0,0011102;722,07;2,0353;170;0,0011094;722,63;2,0341;170;0,0011087;723,19;2,0328;170;0,0011079;723,75;2,0316;170;0,0011072;724,31;2,0304;170;0,0011057;725,44;2,0279;170;0,0011042;726,57;2,0255
180;20,9013;2840,82;8,8211;180;4,17;2838,68;8,0747;180;2,0785;2835,97;7,7503;180;1,3813;2833,21;7,5584;180;1,0326;2830,39;7,4209;180;0,6839;2824,62;7,2239;180;0,5094;2818,64;7,0809;180;0,4047;2812,45;6,9672;180;0,3347;2806,04;6,872;180;0,2847;2799,38;6,7892;180;0,2472;2792,44;6,7154;180;0,2179;2785,15;6,6481;180;0,1944;2777,43;6,5857;180;0,0011271;763,31;2,1392;180;0,0011269;763,44;2,1389;180;0,0011267;763,56;2,1385;180;0,0011265;763,69;2,1382;180;0,001126;763,94;2,1375;180;0,0011256;764,2;2,1368;180;0,0011252;764,45;2,1361;180;0,0011248;764,71;2,1354;180;0,001124;764,96;2,1348;180;0,001124;765,22;2,1341;180;0,0011231;765,73;2,1327;180;0,0011223;766,25;2,1314;180;0,0011215;766,77;2,1301;180;0,0011207;767,29;2,1288;180;0,0011199;767,81;2,1274;180;0,0011183;768,86;2,1248;180;0,0011167;769,93;2,1222
